id	phrase	reviewIds	examples sentence fragments
144	blouse	59,46	i really like the blouse i do n't,but the white poplin blouse is just what
145	smaller	114,265	fit just a bit smaller than i 'm,just felt a lil smaller than old 1xs
146	arms	10,344	was fine but the arms will it just,too big under the arms i am only
147	nice fit	37,55,296,49	but it is a nice fit so its good,nice fit and quality,nice color nice fit,great quality nice fit
148	favorite	18,89,456	that immediately becomes your favorite and then it,that immediately becomes your favorite and then it,this is my favorite
149	true to size	176,414,261	true to size color and fit,and feels great fits true to size in my opinion,the fit is perfect true to size
150	order bigger	464,197	so i would say order bigger than normal so,but make sure you order bigger that you need
151	no support	1,459	and comfortable but offers no support what so ever,flimsy and there is no support at all in
152	very tight	82,218	is cute but very very tight definitely runs small,very tight in the breast
153	run small	130,360,284	for the price they run small so order a,prepared for this to run small i am normally,have to say these run small
154	nice material	153,438	thru the bust area nice material and stays wrinkle,a great fit & nice material i 'm a
155	runs	447,304	this is junior plus and runs a little smaller,nicely made but runs just a tad large
156	size	289,28	i ordered down a size on this one,nice fits true to size
157	good price	237,124	orvis quality at a good price,the camis are a good price and lots of
158	length	264,332	they hold their length and shape after washing,i love the length
159	money	495,105	do n't waste your money,material well worth the money
160	not worth	200,147	made in china top not worth the price at,amazon rather disappointed but not worth the shipping charges
161	complements	397,451	high but i get complements every time i,fits snug but complements my curves if
162	stretchy	397,137	fine the lace is stretchy i think the,spandex so it 's stretchy and should n't
163	great customer service	193,210	i expected as well great customer service also,size down they have great customer service
164	lace	495,397	lace is very flimsy,me perfectly fine the lace is stretchy i
165	low quality	328,351	the shirt was really low quality should have stuck,instructions exactly but the low quality lace kills it
166	little small	357,452	shirt would be a little small i had no,the 3x was a little small plus the bass
167	order	475,31	the fit going to order 2 more,do i decided to order 4 more the
168	pads	452,452	make it work those pads are not listed,not expect to have pads in the breast
169	works well	353,385	works well on women with a fuller figure,works well under summer tops
170	great product	243	great product does n't wrinkle
171	better than	409	it fits even better than i expected it
172	it fit great	244	size larger than normal it fit great
173	overall happy	243	more tailored fitting but overall happy
174	too stiff	232	fabric is a little too stiff even after washing
175	plain shirt	26	different from the pictures it just plain shirt
176	compliments	52	i got so many compliments at work i
177	perfect length	135	perfect length for what i
178	wonderfully soft	392	and it is absolutely wonderfully soft inside it has
179	all i wear	109	they are practically all i wear
180	fits as	193	the shirt fits as i expected it
181	product shipped faster	186	love it & the product shipped faster than expected
182	xlarge	92	back and ordered an xlarge you shud have
183	awesome shirt	282	this is an awesome shirt it looks spectacular
184	tiny bit snug	367	's very cute a tiny bit snug
185	do not show stains	169	and wear well they do not show stains either
186	arrived on time	99	arrived on time and was very
187	purchased	44	i have purchased devon and jones
188	not as expected	326	but the color is not as expected their is to
189	fit was right on	157	expected from woolrich products fit was right on and best of
190	full refund	63	returning it for a full refund
191	washed	358	the second time i washed it
192	big	449	it fits a little big but thats ok
193	nice silky feel	159	it also has a nice silky feel to it you
194	other colors	81	I like this tank so well that I have ordered other colors
195	smaller size	413	help me consider a smaller size if you purchase
196	on the small scale	211	ok little on the small scale
197	not impressed with	373	another because i was not impressed with the quality the
198	repel water	164	own that seems to repel water i 'm a
199	absolutely love	442	i absolutely love them so glad
200	fabric quality	383	very happy with the fit fabric quality and comfort of
201	breezy feel	338	the body creating a breezy feel for the summer
202	was n't stitched	75	has a seam that was n't stitched under the left
