127	very good quality	77,281	a great product and very good quality i am very,very good quality product photos as
128	gift	374,145	gave it as a gift it seems to,was a gift thx
129	disappointing	144,129	the same it is disappointing,haze to each shot disappointing it did n't
130	do	394,224	do not purchase this,am pissed because it do n't work period
131	really good	42,36	vendor was really good to work with,this is really good for the price
132	excellent photos	25,296	admirably allowing for some excellent photos to be taken,camera easy but produces excellent photos
133	worth	282,167	this camera was really worth the price for,good one to buy worth for the price
134	waterproof	268,393,279	is definitely waterproof and does a,waterproof camera did n't,it was the top rated waterproof small camera
135	did not	282,54	i did not feel this camera,you did not tell me that
136	very easy to use	255,179	he takes at work very easy to use alot of fun,great and it 's very easy to use
137	versatile	121,286	battery system is quite versatile allowing you to,compact well designed and versatile i bought a
138	bad camera	461,328	equivalent of having a bad camera in your phone,what you pay for bad camera
139	loves	222,483	my husband loves it this camera,for my grandaughter she loves going underwater with
140	liked	89,3	damaged beyond use i liked the previous a570is,an exact replacement i liked my original camera
141	heavy	428,353	it is a little heavy so two years,it is n't too heavy
142	professional	365,452	but my photos look professional and i am,because she wanted a professional looking camera the
143	operate	314,161	had the easiest to operate with one hand,the time easy to operate
144	lost	425,220	beginning and i have lost many a good,cruise we took and lost all the water
145	durable	360,234,473	it is a very durable camera,reliable and durable,rocks - durable - high quality
146	does everything	241,264	does everything an expensive camera,to this little camera does everything i need when
147	worse	366,309	literally crumbling it got worse every time we,a school experiment its worse than most webcams
148	frustrating	105,221	its death is very frustrating,this product is a frustrating device that you
149	thrilled	242,336	for him he is thrilled with it he,middle otherwise i 'm thrilled with this purchase
150	does not work	484,134	it does not work when i tried,poor quality that simply does not work well
151	packaging	123,223	came in original packaging and looks new,apparently hidden inside the packaging and that it
152	replace	134,46	i had to replace this camera twice,bought this to replace one i had
153	good photos	264,374,66	use camera that takes good photos then at this,seems to be taking good photos,great camera takes very good photos easy to use
154	save your money	232,100	save your money and get a,to take a picture save your money and buy a
155	refurbished	356,190	to find a replacement refurbished and works like,camera i bought a refurbished camera and it
156	good price	399,17,420,108	easy to print from good price,good price delvered on time,but the quality is great good price good product,it was perfect - good price and in wonderful
157	outstanding	37,212	my overall satisfaction as outstanding,a true outstanding camera if your
158	needed	54,114	tell me that i needed a memory stick,was just what i needed
159	service	240,317	pleased with both the service and the product,good product and service
160	excellent pictures	416,71,479	it was great took excellent pictures needed a camera,very happy takes excellent pictures for use with,excellent pictures - easy to use
161	not too happy	357,371	not too happy with this camera,didnt work i am not too happy with this
162	not worth	423,408	not worth the money,camera took it is not worth the cost of
163	very satisfied	77,37	good quality i am very satisfied with this purchase,own use i was very satisfied with the speed
164	wish	107,441	wish we could get,looking for but i wish the illumination was
165	pleased	378,240	movies i was so pleased with my first,i am pleased with both the
166	work	279,224	the seals and gaskets work just fine,because it do n't work period i wasted
167	did not like	32,246	did not like this camera at,did not like this camera at
